topN,lap_time,whileloop_count,collision_count,crash_rate,Avg.Speed,Max.Speed,Note
20,23.92880344390869,3650,25,6.0,,,
20,24.082860231399536,3668,27,5.0,,,
20,24.116793155670166,3667,40,8.0,,,
20,23.72059965133667,3628,5,2.0,,,
20,23.835625648498535,3627,0,0.0,,,
20,24.036625623703003,3667,28,4.0,,,
20,24.090393781661987,3669,15,4.0,,,
20,23.92838740348816,3629,9,2.0,,,
20,23.94207453727722,3626,6,1.0,,,
30,23.871503114700317,3627,31,9.0,,,
30,24.267677307128906,3666,23,6.0,,,
30,23.900681972503662,3628,0,0.0,,,
30,24.06004524230957,3652,22,5.0,,,
30,24.01196599006653,3653,29,6.0,,,
30,24.27426791191101,3666,17,4.0,,,
30,23.9303936958313,3629,6,1.0,,,
30,24.200766801834106,3669,21,4.0,,,
30,24.15997815132141,3667,11,3.0,,,
30,24.15377926826477,3667,6,2.0,,,
30,24.04266119003296,3665,26,6.0,,,
30,23.835537910461426,3628,36,8.0,,,
40,24.0153865814209,3666,33,6.0,,,
40,24.035635232925415,3667,20,4.0,,,
40,23.810086727142334,3627,14,5.0,,,
40,23.84304666519165,3650,23,4.0,,,
40,24.090961456298828,3667,6,1.0,,,
40,24.055858850479126,3669,8,1.0,,,
40,24.034305810928345,3666,37,7.0,,,
40,24.25230622291565,3668,8,3.0,,,
40,24.082868337631226,3669,30,6.0,,,
40,24.557565212249756,3707,36,9.0,,,
40,23.76655077934265,3629,6,2.0,,,
40,23.82352924346924,3629,0,0.0,,,
50,24.03632426261902,3667,21,4.0,,,
50,23.847795486450195,3627,3,1.0,,,
50,23.446199655532837,3587,21,3.0,,,
50,24.11058783531189,3667,7,2.0,,,
50,24.13259220123291,3667,11,4.0,,,
50,24.046788215637207,3668,16,3.0,,,
50,23.869498252868652,3627,20,3.0,,,
50,24.205403327941895,3668,4,2.0,,,
50,24.270612239837646,3696,40,11.0,,,
50,24.12525486946106,3669,7,3.0,,,
50,24.06882905960083,3628,11,2.0,,,
50,24.073989629745483,3667,10,2.0,,,
60,24.064323663711548,3666,12,3.0,,,
60,24.03036594390869,3667,5,1.0,,,
60,23.772375106811523,3627,3,1.0,,,
60,23.99924945831299,3668,34,6.0,,,
60,24.03006076812744,3669,24,5.0,,,
60,23.994443655014038,3669,9,3.0,,,
60,23.75539469718933,3628,15,2.0,,,
60,24.0240159034729,3669,57,11.0,,,
60,24.152945280075073,3668,0,0.0,,,
60,24.189637422561646,3666,7,3.0,,,
60,23.778084754943848,3628,1,1.0,,,
60,24.193280696868896,3658,17,3.0,,,
70,24.099451303482056,3667,20,4.0,,,
70,24.066337823867798,3666,25,5.0,,,
70,23.753119945526123,3628,0,0.0,,,
70,24.163867712020874,3668,1,1.0,,,
70,24.12416124343872,3667,22,5.0,,,
70,24.16459822654724,3668,34,8.0,,,
70,24.193880081176758,3667,68,12.0,,,
70,23.961817979812622,3628,2,1.0,,,
70,23.94223380088806,3667,25,5.0,,,
70,24.221001863479614,3668,20,6.0,,,
70,23.951783418655396,3628,17,4.0,,,
70,24.132776260375977,3667,13,2.0,,,
80,23.950693130493164,3650,23,7.0,,,
80,24.12234330177307,3668,6,2.0,,,
80,23.81790041923523,3626,10,2.0,,,
80,24.06513261795044,3667,15,4.0,,,
80,24.044198274612427,3667,17,3.0,,,
80,24.16807746887207,3668,14,3.0,,,
80,23.81057643890381,3628,0,0.0,,,
80,24.12745213508606,3671,23,4.0,,,
80,24.120153188705444,3668,13,4.0,,,
80,24.0665864944458,3667,25,5.0,,,
80,23.81407356262207,3628,19,4.0,,,
80,23.90457272529602,3646,67,16.0,,,
90,24.138309001922607,3667,19,3.0,,,
90,24.10379910469055,3667,17,5.0,,,
90,23.80016851425171,3628,0,0.0,,,
90,24.035932064056396,3668,18,3.0,,,
90,24.024843454360962,3669,35,9.0,,,
90,24.1599338054657,3669,5,1.0,,,
90,23.838892698287964,3628,5,1.0,,,
90,24.12828278541565,3668,23,7.0,,,
90,24.04997682571411,3667,22,6.0,,,
90,24.296733379364014,3667,10,4.0,,,
90,23.96004009246826,3627,0,0.0,,,
90,24.040997743606567,3667,10,3.0,,,
100,24.184425354003906,3668,14,3.0,,,
100,24.1224467754364,3669,7,2.0,,,
100,23.903956413269043,3628,0,0.0,,,
100,24.00001358985901,3668,50,10.0,,,
100,24.019877433776855,3670,13,2.0,,,
100,23.924092769622803,3668,19,4.0,,,
100,23.82650899887085,3627,21,3.0,,,
100,23.991461277008057,3668,21,4.0,,,
100,24.03961706161499,3669,14,4.0,,,
100,24.227478742599487,3666,14,2.0,,,
100,23.67363452911377,3615,14,4.0,,,
100,24.157992601394653,3667,25,6.0,,,
200,24.10313868522644,3668,17,4.0,,,
200,24.215272665023804,3667,23,3.0,,,
200,23.948864936828613,3626,19,3.0,,,
200,24.18233299255371,3667,6,1.0,,,
200,24.03117275238037,3669,13,3.0,,,
200,23.98113203048706,3667,16,4.0,,,
200,24.187687873840332,3667,24,5.0,,,
200,24.121758460998535,3668,39,6.0,,,
200,23.95711612701416,3667,16,3.0,,,
200,24.039031267166138,3669,54,10.0,,,
200,23.846601247787476,3627,7,1.0,,,
200,24.42081570625305,3709,42,10.0,,,
,,,,,,,"End of iteration for  topN value 200
"
1,23.616692543029785,3668,42,7.0,,,
1,24.623573541641235,3707,8,2.0,,,
1,23.12782883644104,3626,2,1.0,,,
1,23.72827935218811,3705,36,8.0,,,
1,23.42011857032776,3669,9,2.0,,,
1,23.724029541015625,3691,46,10.0,,,
1,23.313107013702393,3629,7,1.0,,,
1,23.53478717803955,3667,18,3.0,,,
1,23.707306385040283,3695,86,15.0,,,
1,23.552713871002197,3667,43,9.0,,,
1,23.495084762573242,3667,19,4.0,,,
1,23.628607988357544,3692,27,7.0,,,
5,24.231635808944702,3669,11,3.0,,,
5,23.646328926086426,3667,8,2.0,,,
5,23.35729146003723,3628,0,0.0,,,
5,23.64694571495056,3667,29,6.0,,,
5,23.681899785995483,3668,1,1.0,,,
5,23.682008504867554,3668,43,8.0,,,
5,23.34593963623047,3628,8,2.0,,,
5,23.646836757659912,3667,22,4.0,,,
5,23.81059980392456,3693,19,5.0,,,
5,23.910085439682007,3707,24,5.0,,,
5,23.324732542037964,3627,21,4.0,,,
5,25.700895071029663,3709,40,10.0,,,
10,24.02741813659668,3667,0,0.0,,,
10,24.7085964679718,3667,42,8.0,,,
10,23.57992672920227,3627,11,3.0,,,
10,23.725399494171143,3668,13,2.0,,,
10,23.71665072441101,3667,47,8.0,,,
10,23.5510733127594,3667,12,3.0,,,
10,23.73602604866028,3651,41,5.0,,,
10,23.82609510421753,3666,17,3.0,,,
10,23.65792226791382,3669,21,6.0,,,
10,23.671950578689575,3669,20,5.0,,,
10,23.531522750854492,3628,3,2.0,,,
10,23.782245635986328,3669,27,6.0,,,
20,23.83827829360962,3666,11,2.0,,,
20,23.67824101448059,3668,11,4.0,,,
20,23.78748321533203,3651,22,4.0,,,
20,23.870084047317505,3666,7,2.0,,,
20,23.767615795135498,3668,9,2.0,,,
20,23.631153106689453,3670,10,3.0,,,
20,23.37306547164917,3627,33,6.0,,,
20,23.67269253730774,3669,45,8.0,,,
20,24.060810565948486,3707,36,8.0,,,
20,23.76043963432312,3658,30,6.0,,,
20,23.645644664764404,3668,31,6.0,,,
20,23.785834550857544,3667,22,5.0,,,
30,23.769287586212158,3669,37,6.0,,,
30,23.743706226348877,3665,19,3.0,,,
30,23.484376430511475,3628,12,2.0,,,
30,23.962716817855835,3668,8,2.0,,,
30,23.84878921508789,3667,13,3.0,,,
30,23.74878978729248,3668,41,6.0,,,
30,23.40599012374878,3628,5,1.0,,,
30,23.901647567749023,3668,26,6.0,,,
30,24.225408792495728,3667,18,4.0,,,
30,24.043931245803833,3669,21,6.0,,,
30,24.146875381469727,3628,7,1.0,,,
30,24.365822792053223,3668,9,2.0,,,
40,23.747435569763184,3668,13,3.0,,,
40,23.748761653900146,3667,20,5.0,,,
40,23.381500005722046,3626,30,6.0,,,
40,23.866520643234253,3667,11,3.0,,,
40,23.836925983428955,3669,28,5.0,,,
40,23.68356442451477,3668,19,4.0,,,
40,23.52055335044861,3629,6,2.0,,,
40,23.776493549346924,3667,9,2.0,,,
40,24.266419172286987,3707,49,8.0,,,
40,23.9811270236969,3694,32,6.0,,,
40,23.460225105285645,3630,13,2.0,,,
40,23.832850694656372,3668,14,3.0,,,
50,23.867889881134033,3668,37,6.0,,,
50,23.836196184158325,3667,8,1.0,,,
50,23.554097414016724,3628,13,2.0,,,
50,23.8505117893219,3666,41,7.0,,,
50,23.913853883743286,3673,0,0.0,,,
50,23.778309106826782,3669,21,4.0,,,
50,23.579500913619995,3629,9,2.0,,,
50,23.94761633872986,3695,45,8.0,,,
50,23.94124674797058,3668,16,3.0,,,
50,23.949931621551514,3668,10,3.0,,,
50,23.70659899711609,3667,39,9.0,,,
50,23.58347463607788,3655,13,3.0,,,
60,23.823739290237427,3666,6,1.0,,,
60,23.816781997680664,3668,8,2.0,,,
60,24.11979079246521,3707,44,6.0,,,
60,23.88154125213623,3668,26,4.0,,,
60,24.42403769493103,3749,40,9.0,,,
60,23.80900287628174,3647,7,2.0,,,
60,23.61282968521118,3629,24,3.0,,,
60,23.59449791908264,3628,14,3.0,,,
60,24.06819438934326,3694,50,9.0,,,
60,24.095290184020996,3707,29,5.0,,,
60,23.460932731628418,3612,21,5.0,,,
60,24.043632984161377,3668,42,11.0,,,
70,23.87003779411316,3667,16,3.0,,,
70,23.760602474212646,3667,26,5.0,,,
70,23.665257930755615,3626,1,1.0,,,
70,23.684730052947998,3626,4,1.0,,,
70,24.13402271270752,3708,39,7.0,,,
70,23.722506999969482,3668,65,10.0,,,
70,23.823721647262573,3669,41,6.0,,,
70,23.820159435272217,3667,26,5.0,,,
70,23.925939083099365,3668,13,3.0,,,
70,23.98330783843994,3667,16,4.0,,,
70,23.830431699752808,3667,19,6.0,,,
70,23.813676118850708,3667,12,2.0,,,
80,23.810538053512573,3668,35,7.0,,,
80,23.78860569000244,3666,0,0.0,,,
80,23.559932231903076,3628,20,2.0,,,
80,23.794424295425415,3666,27,4.0,,,
80,24.025984287261963,3708,47,9.0,,,
80,23.97070813179016,3668,57,10.0,,,
80,23.807785272598267,3668,34,6.0,,,
80,23.877408742904663,3669,7,2.0,,,
80,24.003761529922485,3709,50,7.0,,,
80,23.986769914627075,3707,40,9.0,,,
80,23.770522356033325,3657,74,11.0,,,
80,24.147607564926147,3707,44,7.0,,,
90,24.199636220932007,3708,23,5.0,,,
90,23.923245429992676,3668,14,3.0,,,
90,23.581082582473755,3627,5,1.0,,,
90,25.637166500091553,3668,12,2.0,,,
90,25.756545543670654,3707,37,7.0,,,
90,24.61167335510254,3668,26,4.0,,,
90,24.501497983932495,3668,34,5.0,,,
90,24.015601873397827,3668,28,5.0,,,
90,24.837353229522705,3708,57,10.0,,,
90,24.237422227859497,3667,26,4.0,,,
90,23.797945737838745,3628,6,1.0,,,
90,23.77787494659424,3628,23,5.0,,,
100,24.585216999053955,3695,27,3.0,,,
100,24.880948066711426,3667,13,3.0,,,
100,24.650198936462402,3668,3,1.0,,,
100,24.253395557403564,3665,27,5.0,,,
100,24.99621558189392,3707,20,4.0,,,
100,23.783483266830444,3670,19,3.0,,,
100,24.407721757888794,3668,43,8.0,,,
100,24.96991491317749,3711,47,8.0,,,
100,24.780973434448242,3704,63,11.0,,,
100,23.97919774055481,3708,43,8.0,,,
100,23.493247270584106,3616,30,6.0,,,
100,25.036623239517212,3667,19,4.0,,,
200,24.272782802581787,3693,18,3.0,,,
200,23.715994596481323,3667,10,2.0,,,
200,23.527148962020874,3627,24,3.0,,,
200,23.610149145126343,3667,39,7.0,,,
200,24.197779893875122,3750,46,8.0,,,
200,24.23491358757019,3749,57,12.0,,,
200,24.139974117279053,3708,88,14.0,,,
200,23.839807510375977,3709,35,7.0,,,
200,23.961491584777832,3709,46,11.0,,,
200,23.879536867141724,3707,51,10.0,,,
200,23.398889303207397,3627,26,5.0,,,
200,23.784191370010376,3705,53,11.0,,,
,,,,,,,"End of iteration for  topN value 200
"
1,23.781763315200806,3668,36,7.0,,,
1,23.89825177192688,3707,7,2.0,,,
1,23.692360639572144,3626,2,1.0,,,
1,23.934276580810547,3705,29,7.0,,,
1,23.774255514144897,3669,9,2.0,,,
1,23.92269468307495,3691,44,10.0,,,
1,23.45407485961914,3629,7,1.0,,,
1,23.685415029525757,3667,16,3.0,,,
1,23.915597677230835,3695,78,15.0,,,
1,23.734325408935547,3667,37,9.0,,,
1,23.752031326293945,3667,15,4.0,,,
1,23.867603540420532,3692,21,6.0,,,
5,23.808512210845947,3669,10,3.0,,,
5,23.653923988342285,3667,6,2.0,,,
5,23.510865211486816,3628,0,0.0,,,
5,23.879143238067627,3667,25,6.0,,,
5,23.840523958206177,3668,1,1.0,,,
5,23.738276481628418,3668,40,8.0,,,
5,23.45816445350647,3628,6,2.0,,,
5,23.736124753952026,3667,21,4.0,,,
5,23.82402467727661,3693,18,5.0,,,
5,24.10807991027832,3707,19,4.0,,,
5,23.51590657234192,3627,19,4.0,,,
5,24.027191638946533,3709,36,10.0,,,
10,23.86864924430847,3667,0,0.0,,,
10,23.998302936553955,3667,37,8.0,,,
10,23.556192636489868,3627,9,3.0,,,
10,23.8525710105896,3668,13,2.0,,,
10,23.79186511039734,3667,43,8.0,,,
10,23.790650844573975,3667,10,3.0,,,
10,23.76081657409668,3651,40,5.0,,,
10,23.732433557510376,3666,16,3.0,,,
10,23.982120752334595,3669,15,5.0,,,
10,23.77153730392456,3669,17,5.0,,,
10,23.433869123458862,3628,2,2.0,,,
10,23.72986936569214,3669,24,6.0,,,
20,23.678064107894897,3666,11,2.0,,,
20,23.74173665046692,3668,10,3.0,,,
20,23.764127492904663,3651,17,4.0,,,
20,23.812885761260986,3666,7,2.0,,,
20,23.887658834457397,3668,8,2.0,,,
20,23.77272605895996,3670,8,3.0,,,
20,23.407297611236572,3627,26,6.0,,,
20,23.896642208099365,3669,43,8.0,,,
20,24.072932958602905,3707,32,7.0,,,
20,23.718379735946655,3658,28,6.0,,,
20,23.888166189193726,3668,29,6.0,,,
20,24.21527099609375,3667,21,5.0,,,
30,23.942724227905273,3669,37,6.0,,,
30,23.820003032684326,3665,18,3.0,,,
30,23.620736837387085,3628,11,2.0,,,
30,23.808651208877563,3668,7,2.0,,,
30,24.039242267608643,3667,11,3.0,,,
30,23.86057686805725,3668,40,6.0,,,
30,23.588195085525513,3628,4,1.0,,,
30,23.86739230155945,3668,23,6.0,,,
30,23.889131546020508,3667,17,3.0,,,
30,23.921025037765503,3669,17,5.0,,,
30,23.64280128479004,3628,7,1.0,,,
30,23.77361249923706,3668,7,2.0,,,
40,23.782201051712036,3668,13,3.0,,,
40,23.840848445892334,3667,18,5.0,,,
40,23.676756620407104,3626,28,6.0,,,
40,23.76037073135376,3667,9,2.0,,,
40,23.919205904006958,3669,26,5.0,,,
40,23.782055377960205,3668,18,4.0,,,
40,23.7791907787323,3629,4,2.0,,,
40,23.750534296035767,3667,7,2.0,,,
40,23.93173623085022,3707,45,8.0,,,
40,23.880647659301758,3694,29,6.0,,,
40,23.505554676055908,3630,12,2.0,,,
40,23.689918518066406,3668,12,3.0,,,
50,23.678566217422485,3668,33,5.0,,,
50,23.705206632614136,3667,7,1.0,,,
50,23.656956672668457,3628,13,2.0,,,
50,23.835249662399292,3666,40,7.0,,,
50,23.7731454372406,3673,0,0.0,,,
50,23.832697868347168,3669,19,3.0,,,
50,23.421852350234985,3629,8,1.0,,,
50,23.946499586105347,3695,39,8.0,,,
50,23.73614192008972,3668,13,3.0,,,
50,23.779914617538452,3668,9,3.0,,,
50,23.804088830947876,3667,35,9.0,,,
50,23.795352935791016,3655,11,3.0,,,
60,23.828646421432495,3666,5,1.0,,,
60,23.867566347122192,3668,6,2.0,,,
60,23.99948477745056,3707,43,6.0,,,
60,23.79431462287903,3668,23,4.0,,,
60,24.282806396484375,3749,36,9.0,,,
60,23.70537304878235,3647,5,2.0,,,
60,23.648078680038452,3629,23,3.0,,,
60,23.533140182495117,3628,13,3.0,,,
60,23.92019271850586,3694,48,9.0,,,
60,24.03724956512451,3707,26,5.0,,,
60,23.4650137424469,3612,19,5.0,,,
60,23.809001922607422,3668,39,11.0,,,
70,23.89261221885681,3667,16,3.0,,,
70,23.75512957572937,3667,23,5.0,,,
70,23.560853719711304,3626,0,0.0,,,
70,23.60087513923645,3626,3,1.0,,,
70,24.126216650009155,3708,37,7.0,,,
70,23.83146572113037,3668,61,10.0,,,
70,23.823031187057495,3669,39,6.0,,,
70,23.904006004333496,3667,24,5.0,,,
70,23.901539087295532,3668,11,3.0,,,
70,23.836731433868408,3667,16,4.0,,,
70,23.798267126083374,3667,13,5.0,,,
70,23.770943641662598,3667,9,2.0,,,
80,23.58220624923706,3668,32,6.0,,,
80,23.62582039833069,3666,0,0.0,,,
80,23.55410647392273,3628,19,2.0,,,
80,23.894533395767212,3666,25,4.0,,,
80,24.09091567993164,3708,43,8.0,,,
80,23.819897174835205,3668,52,10.0,,,
80,23.775734424591064,3668,31,6.0,,,
80,23.905511617660522,3669,7,2.0,,,
80,23.947054386138916,3709,49,7.0,,,
80,24.08910036087036,3707,37,9.0,,,
80,23.67906379699707,3657,70,11.0,,,
80,24.151548385620117,3707,41,6.0,,,
90,23.98322081565857,3708,20,3.0,,,
90,23.793134689331055,3668,12,3.0,,,
90,23.54347038269043,3627,4,1.0,,,
90,23.765385150909424,3668,12,2.0,,,
90,24.1060791015625,3707,35,7.0,,,
90,23.90743064880371,3668,26,4.0,,,
90,23.867121934890747,3668,31,5.0,,,
90,23.651002407073975,3668,24,5.0,,,
90,24.026315927505493,3708,57,10.0,,,
90,23.688179969787598,3667,26,4.0,,,
90,23.426814317703247,3628,5,1.0,,,
90,23.4812068939209,3628,21,5.0,,,
100,23.87370204925537,3695,26,3.0,,,
100,23.830073356628418,3667,11,2.0,,,
100,23.95925235748291,3668,2,1.0,,,
100,23.7903048992157,3665,25,5.0,,,
100,24.2517831325531,3707,17,4.0,,,
100,23.771004915237427,3670,18,3.0,,,
100,23.93808913230896,3668,40,7.0,,,
100,24.267143964767456,3711,44,8.0,,,
100,24.21442484855652,3704,58,10.0,,,
100,24.167213916778564,3708,42,8.0,,,
100,23.495797395706177,3616,25,6.0,,,
100,23.655662536621094,3667,14,4.0,,,
200,23.972511768341064,3693,14,3.0,,,
200,23.92866349220276,3667,8,2.0,,,
200,23.480875730514526,3627,22,3.0,,,
200,23.851075410842896,3667,34,6.0,,,
200,24.294031620025635,3750,41,6.0,,,
200,24.282109260559082,3749,53,10.0,,,
200,24.179747819900513,3708,85,14.0,,,
200,24.02057123184204,3709,33,7.0,,,
200,24.088640689849854,3709,41,10.0,,,
200,24.182679891586304,3707,48,10.0,,,
200,23.601227521896362,3627,22,5.0,,,
200,24.03778839111328,3705,50,10.0,,,
,,,,,,,"End of iteration for  topN value 200
"
