whole_time,opt_step_count,collision_count,crash_rate,ee_path_length,joints_path_length,Avg.Speed,Max.Speed,Mean_weight,goal_w,collision_w,oneLoop,oneOpt,Note
119.068,2133,2,5.0,46.641,180.382,0.292,0.689,0.49607766,10,80,55.821932597278824,32.23709203914136,
126.239,2275,2,10.0,47.42,184.266,0.278,0.665,0.46522993,10,80,55.48968357044262,31.769932338169646,
130.317,2345,1,5.0,48.926,188.692,0.278,0.662,0.4455886,10,80,55.572111926861666,31.814852553898334,
128.857,2313,0,0.0,48.275,183.822,0.279,0.704,0.4637634,10,80,55.70990761997274,31.86106403514105,
126.12,2266.5,1.25,5.0,47.816,184.291,0.282,0.68,0.468,10.0,80.0,55.648,31.921,
126.12,2266.5,1.25,5.0,47.816,184.291,0.278,0.68,0.458,10.0,80.0,55.648,31.815,
126.516,2267,0,0.0,47.68,184.094,0.281,0.692,0.45558214,10,90,55.80747374680581,31.907611551608714,
122.539,2194,3,10.0,46.927,181.721,0.285,0.819,0.45125487,10,90,55.85180441683384,31.948944276967914,
148.04,2645,0,0.0,50.899,193.992,0.257,0.621,0.39326596,10,90,55.969840772661236,31.973509166551672,
127.749,2286,0,0.0,48.058,184.987,0.281,0.707,0.42512402,10,90,55.88303911821527,31.984384812916566,
131.211,2348.0,0.75,2.5,48.391,186.198,0.276,0.71,0.431,10.0,90.0,55.878,31.954,
125.601,2249.0,0.0,0.0,47.555,183.601,0.282,0.71,0.431,10.0,90.0,55.878,31.954,
126.784,2264,0,0.0,46.962,184.667,0.277,0.629,0.44048372,10,100,56.00011201292382,32.01328497050929,
141.233,2521,2,5.0,50.678,193.862,0.268,0.672,0.3896743,10,100,56.02254615989482,31.998845141636664,
135.1,2407,5,10.0,48.097,186.976,0.267,0.647,0.40772718,10,100,56.128151049295006,32.09274212354241,
120.878,2151,0,0.0,46.649,181.865,0.289,0.678,0.44226044,10,100,56.196167434664005,32.118415677342405,
130.999,2335.75,1.75,3.75,48.096,186.842,0.275,0.657,0.42,10.0,100.0,56.087,32.056,
130.999,2335.75,1.75,3.75,48.096,186.842,0.275,0.657,0.42,10.0,100.0,56.087,32.056,
134.611,2402,4,15.0,49.19,192.178,0.273,0.669,0.36944607,10,120,56.041171112028785,32.10287288662595,
147.716,2628,6,10.0,51.177,197.396,0.26,0.624,0.35468853,10,120,56.208530789640946,32.107382423075734,
134.075,2391,1,5.0,49.283,191.884,0.275,0.637,0.37591365,10,120,56.07470265495782,32.10255263092028,
135.378,2411,1,5.0,48.299,191.209,0.267,0.657,0.3709926,10,120,56.15007625185864,32.10719400102891,
137.945,2458.0,3.0,8.75,49.487,193.167,0.269,0.647,0.368,10.0,120.0,56.119,32.105,
134.688,2401.333,3.0,8.75,48.924,191.757,0.269,0.647,0.372,10.0,120.0,56.119,32.105,
141.733,2523,0,0.0,49.841,193.257,0.264,0.723,0.34573942,10,150,56.17642761741514,32.1101205858313,
138.397,2465,1,5.0,49.161,190.648,0.266,0.696,0.3439879,10,150,56.1449324625259,32.09412799162023,
124.627,2221,0,0.0,48.135,187.188,0.289,0.784,0.3827746,10,150,56.113170321489015,32.13158645698585,
116.5,2069,6,5.0,46.247,180.619,0.298,0.641,0.39700937,10,150,56.30752197955184,32.14765447761311,
130.314,2319.5,1.75,2.5,48.346,187.928,0.279,0.711,0.367,10.0,150.0,56.186,32.121,
130.314,2319.5,0.333,2.5,48.346,187.928,0.279,0.711,0.367,10.0,150.0,56.186,32.121,
138.613,2464,8,25.0,49.232,188.814,0.267,0.672,0.4871845,20,130,56.25521381954094,32.1359449586311,
127.551,2274,1,5.0,47.144,180.58,0.277,0.675,0.53065723,20,130,56.09110770984606,32.0952018311701,
127.211,2265,5,15.0,47.043,179.251,0.277,0.662,0.5207685,20,130,56.163731000281324,32.12359662087548,
124.94,2228,7,25.0,46.267,180.964,0.277,0.645,0.54630506,20,130,56.077021242686186,32.13467739214803,
129.579,2307.75,5.25,17.5,47.422,182.402,0.274,0.664,0.521,20.0,130.0,56.147,32.122,
126.567,2255.667,5.25,17.5,46.818,180.265,0.277,0.664,0.521,20.0,130.0,56.147,32.122,
136.959,2436,11,20.0,48.025,185.439,0.263,0.648,0.48549327,20,140,56.222843712773816,32.130962620032044,
117.279,2084,10,15.0,46.335,176.198,0.297,0.675,0.56041354,20,140,56.275760715616414,32.12359747822591,
135.419,2411,7,10.0,47.48,185.788,0.263,0.618,0.49153167,20,140,56.16705964482804,32.13474049404023,
135.347,2411,1,5.0,49.202,188.668,0.272,0.687,0.4691325,20,140,56.13734473928976,32.10609614824369,
131.251,2335.5,7.25,12.5,47.76,184.023,0.274,0.657,0.502,20.0,140.0,56.201,32.124,
135.908,2419.333,7.25,12.5,47.76,186.632,0.274,0.657,0.482,20.0,140.0,56.201,32.124,
130.745,2324,1,5.0,47.225,182.291,0.271,0.708,0.48091108,20,150,56.258820625672854,32.108714063483546,
131.853,2346,7,15.0,47.763,185.321,0.272,0.65,0.49276787,20,150,56.203387277510465,32.119789493459976,
142.085,2529,10,20.0,49.794,189.146,0.263,0.635,0.43732598,20,150,56.18235884847825,32.06426317675776,
130.645,2326,0,0.0,46.578,183.992,0.267,0.629,0.4883649,20,150,56.16723158599381,32.08275612120165,
133.832,2381.25,4.5,10.0,47.84,185.188,0.268,0.656,0.475,20.0,150.0,56.203,32.094,
131.081,2332.0,4.5,10.0,47.84,185.188,0.268,0.656,0.487,20.0,150.0,56.203,32.094,
138.885,2471,1,5.0,48.741,187.445,0.263,0.691,0.4231223,20,180,56.20593158207843,32.087047492767915,
141.701,2523,5,20.0,49.227,190.723,0.26,0.627,0.38533744,20,180,56.16364051933758,32.10261214880352,
134.061,2385,0,0.0,48.316,188.404,0.27,0.696,0.41067955,20,180,56.209876302403224,32.13903309164307,
131.783,2349,2,5.0,48.638,189.062,0.276,0.688,0.43522355,20,180,56.10181890481987,32.10532162838056,
136.608,2432.0,2.0,7.5,48.73,188.909,0.267,0.676,0.414,20.0,180.0,56.17,32.109,
136.608,2432.0,2.0,3.333,48.73,188.909,0.267,0.692,0.414,20.0,180.0,56.17,32.098,
138.484,2467,0,0.0,48.967,190.746,0.265,0.662,0.3969255,20,200,56.134689564544466,32.10059312078989,
124.678,2219,2,10.0,47.994,183.057,0.289,0.672,0.428192,20,200,56.18675478195596,32.12625424890918,
131.793,2342,1,5.0,48.804,188.216,0.278,0.651,0.4142864,20,200,56.273542338207584,32.11855623683392,
135.728,2414,0,0.0,48.641,187.424,0.269,0.707,0.4035864,20,200,56.225530451353464,32.15929754726533,
132.671,2360.5,0.75,3.75,48.602,187.361,0.275,0.673,0.411,20.0,200.0,56.205,32.126,
132.671,2360.5,0.75,3.75,48.602,187.361,0.275,0.673,0.411,20.0,200.0,56.205,32.126,
123.726,2202,1,5.0,46.859,178.826,0.284,0.675,0.43560514,20,220,56.18783271280232,32.15594436773704,
131.736,2349,1,5.0,48.059,189.725,0.273,0.672,0.405045,20,220,56.08154672823241,32.124401407578794,
148.15,2638,1,5.0,50.847,195.913,0.257,0.645,0.34354293,20,220,56.159957057151765,32.07960157705311,
122.951,2190,1,5.0,46.937,182.884,0.286,0.715,0.44749555,20,220,56.14182589805289,32.12321457797534,
131.641,2344.75,1.0,5.0,48.176,186.837,0.275,0.677,0.408,20.0,220.0,56.143,32.121,
131.641,2344.75,1.0,5.0,48.176,186.837,0.275,0.664,0.408,20.0,220.0,56.143,32.135,
133.339,2374,1,5.0,48.589,188.495,0.273,0.623,0.39083174,20,250,56.166470402313465,32.117382959849515,
132.487,2350,0,0.0,48.875,188.19,0.278,0.656,0.40160725,20,250,56.377291172108755,32.12723772576515,
140.039,2462,0,0.0,50.635,193.181,0.274,0.742,0.34055522,20,250,56.880032987153015,32.510160721965576,
126.113,2262,0,0.0,47.35,184.643,0.279,0.671,0.41767317,20,250,55.75298187903447,31.870631071237415,
132.995,2362.0,0.25,1.25,48.862,188.627,0.276,0.673,0.388,20.0,250.0,56.294,32.156,
132.995,2362.0,0.0,0.0,48.862,188.627,0.276,0.673,0.388,20.0,250.0,56.294,32.038,
